pile	volume	page	stratum	ja	en	fr	verdict	cause
hard	Yushapati-05	DLRAW.APP_0030	katakana	おぬしのパーティーは	Onushi's party	La fête d'Onushi	wrong	ja-en
hard	Yushapati-05	DLRAW.APP_0015	katakana	一応勇者……アレンのハーティーにいたことはある	I've been to the Braves... Allen's Hearty.	J'ai été chez les Braves... Allen Est Copieux.	wrong	ocr
hard	Isekai-01	DLRAW.TO-Met_100	katakana	ステータスの	of status.	de statut.	ok	
hard	Yushapati-01	DLRAW.APP_010	tiny	家事をし	Do the housework.	Faites les tâches ménagères.	ok	
hard	Zeccho-01	DLRAW.CC_001	tiny	まるせい	まるせい	まるせい	ok	
hard	Otome-Game-01	DLRAW.TO_p_016	tiny	聖樹…	The Holy Tree...	Le Saint Arbre...	ok	
hard	Isekai-01	DLRAW.TO-Met_12	tiny	…現在	...now	...maintenant	ok	
hard	Otome-Game-01	DLRAW.TO_p_032	tiny	でっっ…	eh...	hein...	ok	
hard	Yushapati-01	DLRAW.APP_007	tiny	何故？	Why?	Pourquoi ?	ok	
hard	Isekai-01	DLRAW.TO-Met_125	tiny	工村	工村	工村	wrong	ocr
hard	Sekai-01	DLRAW.NET-0020	tiny	…って	that's...	c'est...	ok	
hard	Yushapati-05	DLRAW.APP_0011	tiny	聖剣…	The Holy Sword...	La Sainte Épée...	ok	
hard	Zeccho-02	DLRAW.CC_p_007	tiny	うるい	うるい	うるい	wrong	ja-en
hard	Sekai-01	DLRAW.NET-0009	tiny	本日は	today.	Aujourd'hui.	ok	
hard	Sekai-01	DLRAW.NET-0040	tiny	ただいま	I'm back.	Je suis de retour.	ok	
hard	Otome-Game-01	DLRAW.TO_p_017	long	故に採掘したものはすべて国外輸出できて…その魔石に依存する諸外国に対しては優位を保てるというわけです	So everything that's been mined can be exported abroad, and it's about keeping the dominance of foreign countries that depend on the magic stone.	Donc, tout ce qui a été extrait peut être exporté à l'étranger, et il s'agit de garder la domination des pays étrangers qui dépendent de la pierre magique.	ok	
hard	Yushapati-01	DLRAW.APP_006	long	ああ……白魔導師のくせに回復はシーナに任せっきりだったしなあ？	Oh ... the white magician's habit was left to Sheena to recover, wasn't it?	Oh... l'habitude du magicien blanc a été laissée à Sheena pour récupérer, n'est-ce pas ?	ok	
hard	Zeccho-02	DLRAW.CC_p_026	long	ハクさんの胸あたりから禍々しい魔力が流れていますそれかなり苦しいですよね？	There is a terrible magic flowing from Mr. Haku's chest, isn't it?	Il y a une terrible magie qui coule de M. La poitrine de Haku, non ?	degraded	en-fr
hard	Sekai-01	DLRAW.NET-0006	long	すいませんみなさんよく天使は珍しいと仰るので田端様も熱心に私の服を見ていらしたようだったので近づいた方が親切かと	I'm sorry, everyone, because everyone says that angels are rare, so Tabata-sama seemed to be eagerly looking at my clothes, so I thought it would be kinder if I approached him.	Je suis désolé, tout le monde, parce que tout le monde dit que les anges sont rares, alors Tabata-sama semblait regarder mes vêtements avec impatience, alors j'ai pensé que ce serait plus gentil si je l'approchais.	ok	
hard	Sekai-01	DLRAW.NET-0039	long	ほんきっか本気使ったからこれてしばらく誰の目も見えない気にすんな	I really used it seriously, so I don't think I can see anyone's eyes for a while.	Je l'ai vraiment utilisé sérieusement, donc je ne pense pas pouvoir voir les yeux de quelqu'un pendant un moment.	degraded	ocr
hard	Yushapati-05	DLRAW.APP_0045	long	こんな所で何をしているんだ？この街にユイ様が来ていると聞いたのでちょっと散策してましてよ	what are you doing here?I heard that Mr. Yui was coming to this city, so I took a walk.	que faites-vous ici? J'ai entendu que M. Yui venait dans cette ville, alors j'ai fait une promenade.	ok	
hard	Yushapati-01	DLRAW.APP_030	long	それで彼女に心配をかけないために代わりの白魔導師を探してたのか	So you were looking for a replacement white magician to avoid worrying about her.	Vous cherchiez donc un magicien blanc remplaçant pour éviter de vous inquiéter pour elle.	ok	
hard	Sekai-01	DLRAW.NET-0013	long	いや軽すぎますから！！その温度で言われる方の気持ち考えてもらえます！？	No, it is too light! ! Can you think about the feelings of those who are told at that temperature?	Non, c'est trop léger ! ! Pouvez-vous penser aux sentiments de ceux qui sont racontés à cette température?	ok	
hard	Yushapati-05	DLRAW.APP_0039	long	この王都に勇者やSランク冒険者が集まっていると聞いたんだけど	I heard that the heroes and S-rank adventurers are gathered in this royal capital	J'ai entendu dire que les héros et les aventuriers de rang S sont rassemblés dans cette capitale royale	ok	
hard	Yushapati-05	DLRAW.APP_0038	long	ありがとうございますそうだついでにひとつ聞いてもいいかしら？	Thank you. Can I ask you something?	Merci. Je peux te demander quelque chose ?	ok	
hard	Isekai-01	DLRAW.TO-Met_110	long	武勇：19 統率：21 知力364内政：71魅力：77年龄:48 性别:男種族：人族	勇勇:19 Leadership: 21 智力364 内政:71 Attractive:77 years 龄:48 Sexual:Men:Men:Peoples	勇勇:19 Leadership: 21 智力364 内政:71 Attrayant:77 ans 龄:48 Sexuel:Men:Men:Peoples	wrong	ocr
hard	Otome-Game-01	DLRAW.TO_p_020	long	本当によろしいのですか？それはそれで世か世界の危機を招きますが	Are you sure?and that leads to a crisis in the world or the world.	Êtes-vous sûr?et cela conduit à une crise dans le monde ou dans le monde.	ok	
